epoch,accuracy,loss,val_accuracy,val_loss
0,0.5679428577423096,1.2446296215057373,0.8877992033958435,0.3964347839355469
1,0.6096621751785278,0.9428771734237671,0.4563082754611969,0.6239645481109619
2,0.7548685073852539,0.5506739616394043,0.898800253868103,0.4585455358028412
3,0.8921642303466797,0.35713228583335876,0.8256703615188599,0.36784905195236206
4,0.9066922664642334,0.2347564697265625,0.922959566116333,0.20216728746891022
5,0.9211806654930115,0.1975504457950592,0.9235756397247314,0.21090136468410492
6,0.9254873394966125,0.1844462752342224,0.9353358149528503,0.174617201089859
7,0.9371585249900818,0.16463398933410645,0.9361675977706909,0.17148689925670624
8,0.9395424127578735,0.1540074646472931,0.9387706518173218,0.15656155347824097
9,0.9451804757118225,0.14098559319972992,0.9331191182136536,0.1611681431531906
